CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,DISTRACTN,CASEWGT,PSUSTRAT,VERSION
17307,26,60,1-26-2020-060-01,1,1,8,50.5560831621771,10,5
17309,16,42,1-16-2020-042-07,7,1,9,1580.50655311131,5,5
17290,29,60,1-29-2020-060-10,10,1,10,74.6139592381615,2,5
16474,26,20,1-26-2020-020-01,1,1,8,23.0618130910426,10,5
18137,66,45,1-66-2020-045-07,7,1,1,176.644743101493,6,5
18091,22,62,1-22-2020-062-09,9,1,10,346.044779597367,12,5
17292,25,36,1-25-2020-036-06,6,1,1,139.509050242952,2,5
16455,19,22,1-19-2020-022-07,7,1,99,676.992434668354,9,5
18861,21,112,1-21-2020-112-03,3,1,99,169.910566199997,11,5
17296,73,31,1-73-2020-031-06,6,1,2,36.6579242952748,3,5
16417,11,9,1-11-2020-009-04,4,1,2,5024.92416888957,8,5
16419,24,20,1-24-2020-020-04,4,1,1,411.355823874312,1,5
16423,76,14,1-76-2020-014-05,5,1,10,22.2252509205872,3,5
17920,77,55,1-77-2020-055-03,3,1,1,378.709261083033,9,5
17455,16,48,1-16-2020-048-01,1,1,1,42.2375651350661,5,5
17457,25,43,1-25-2020-043-07,7,1,6,634.44958458756,2,5
17460,73,35,1-73-2020-035-07,7,1,1,112.910841604,3,5
17461,59,19,1-59-2020-019-08,8,1,99,58.0651503990931,6,5
17572,18,31,1-18-2020-031-06,6,1,9,268.309064461482,6,5
17579,17,67,1-17-2020-067-07,7,1,99,177.754974131379,4,5
17948,66,41,1-66-2020-041-03,3,1,3,101.661767199215,6,5
17952,16,65,1-16-2020-065-06,6,1,1,385.418833030025,5,5
17542,25,45,1-25-2020-045-03,3,1,4,89.8759064727143,2,5
17544,25,47,1-25-2020-047-07,7,2,3,451.128402340746,2,5
17544,25,47,1-25-2020-047-07,7,1,99,451.128402340746,2,5
16047,19,2,1-19-2020-002-05,5,1,1,63.4268226368887,9,5
16387,27,7,1-27-2020-007-09,9,2,9,416.562297853924,3,5
18337,33,63,1-33-2020-063-08,8,1,9,92.9604370491072,12,5
18340,19,102,1-19-2020-102-07,7,1,9,373.669125768156,9,5
18512,19,108,1-19-2020-108-05,5,1,1,61.4181527827887,9,5
17547,54,12,1-54-2020-012-09,9,1,1,504.669744943864,9,5
16406,22,10,1-22-2020-010-09,9,2,7,166.610477979943,12,5
17322,23,19,1-23-2020-019-06,6,1,1,356.422815473669,5,5
16887,54,5,1-54-2020-005-01,1,1,3,383.747247560329,9,5
16890,17,38,1-17-2020-038-06,6,1,9,62.2195529585622,4,5
16374,19,16,1-19-2020-016-04,4,1,99,144.851528400921,9,5
16345,24,16,1-24-2020-016-04,4,1,2,342.127551949294,1,5
17353,11,30,1-11-2020-030-04,4,1,7,2671.74655439805,8,5
18106,54,19,1-54-2020-019-01,1,1,9,486.535594413535,9,5
18109,10,97,1-10-2020-097-09,9,2,9,1819.30146227167,4,5
18316,16,80,1-16-2020-080-10,10,1,2,2935.82045587643,5,5
17111,25,31,1-25-2020-031-09,9,1,3,354.333990485709,2,5
17112,25,32,1-25-2020-032-04,4,1,9,196.210874775905,2,5
16355,52,16,1-52-2020-016-03,3,1,99,38.6623052366953,12,5
16356,48,6,1-48-2020-006-03,3,1,9,139.852592415906,12,5
17422,23,22,1-23-2020-022-03,3,1,99,139.72568123666,5,5
17424,77,43,1-77-2020-043-08,8,1,9,1027.59133103413,9,5
17452,28,33,1-28-2020-033-07,7,1,9,293.928636233209,3,5
17435,17,62,1-17-2020-062-03,3,1,8,141.078087811885,4,5
17477,29,69,1-29-2020-069-06,6,1,10,32.0351372766608,2,5
17480,21,52,1-21-2020-052-05,5,1,1,31.8297816083011,11,5
16312,30,8,1-30-2020-008-04,4,1,1,943.812478413986,10,5
16327,25,9,1-25-2020-009-09,9,1,1,1476.66130718466,2,5
17497,18,29,1-18-2020-029-07,7,1,3,601.91728758309,6,5
17250,77,39,1-77-2020-039-02,2,2,99,95.8048358704901,9,5
17163,10,58,1-10-2020-058-10,10,1,9,2344.19248532149,4,5
17164,77,37,1-77-2020-037-08,8,1,3,257.047203757202,9,5
16249,11,4,1-11-2020-004-08,8,1,9,532.337490898282,8,5
17167,14,26,1-14-2020-026-03,3,1,99,964.119884517139,8,5
17210,73,28,1-73-2020-028-07,7,1,4,119.775683035841,3,5
17210,73,28,1-73-2020-028-07,7,1,9,119.775683035841,3,5
17213,29,55,1-29-2020-055-06,6,1,9,90.1206971356379,2,5
17525,11,33,1-11-2020-033-02,2,1,1,102.828754502463,8,5
17526,11,34,1-11-2020-034-04,4,1,99,7240.64882472094,8,5
18322,25,68,1-25-2020-068-09,9,1,1,1670.00153061842,2,5
18649,24,115,1-24-2020-115-03,3,1,2,236.839336734029,1,5
17555,29,73,1-29-2020-073-06,6,1,9,15.9283113200266,2,5
16077,21,3,1-21-2020-003-03,3,1,99,123.853894759668,11,5
17586,22,46,1-22-2020-046-04,4,1,8,170.58595487793,12,5
17564,26,70,1-26-2020-070-10,10,1,3,6001.3057355037,10,5
17567,26,73,1-26-2020-073-09,9,1,3,1185.63477384842,10,5
17571,19,69,1-19-2020-069-03,3,1,9,106.472444681708,9,5
17223,33,30,1-33-2020-030-03,3,1,9,43.6836647426954,12,5
17224,33,31,1-33-2020-031-07,7,1,10,261.820915100024,12,5
17225,22,34,1-22-2020-034-04,4,1,9,83.40959700394,12,5
17225,22,34,1-22-2020-034-04,4,1,6,83.40959700394,12,5
17227,22,36,1-22-2020-036-09,9,1,2,121.194096013254,12,5
17228,19,50,1-19-2020-050-08,8,1,1,52.5663000327448,9,5
17535,48,33,1-48-2020-033-04,4,1,8,72.4197113590556,12,5
17540,28,34,1-28-2020-034-09,9,1,1,161.644469677288,3,5
17192,59,13,1-59-2020-013-06,6,2,99,149.661408180094,6,5
16204,29,8,1-29-2020-008-07,7,1,9,240.481327688699,2,5
16158,24,7,1-24-2020-007-04,4,1,3,1077.05816455075,1,5
16160,24,9,1-24-2020-009-09,9,1,8,1411.25177379709,1,5
16176,10,8,1-10-2020-008-03,3,1,9,114.305013711789,4,5
17624,54,13,1-54-2020-013-04,4,2,10,547.60997302427,9,5
17610,30,53,1-30-2020-053-06,6,1,7,124.768994302668,10,5
17613,12,37,1-12-2020-037-06,6,1,8,276.827769625833,9,5
17271,28,28,1-28-2020-028-03,3,1,99,34.2731829497023,3,5
17272,28,29,1-28-2020-029-04,4,1,1,47.2583960878217,3,5
17646,28,36,1-28-2020-036-09,9,1,10,83.3211007068016,3,5
18553,30,96,1-30-2020-096-06,6,1,10,316.815820332588,10,5
